Ulasan
bahan botol tipis.  setauku pet 1 hanya digunakan sekali pakai.  tp katanya yg ini beda. kalau beda kenapa pet 1. 😅
"Materialnya bagus, tahan lama, ga gampang rusak, dan awet"
packing aman ya dan botol ada plastik pembungkusnya sehingga tdk ada goresan dan dilapisi bubble wrap. produk juga stock baru ya.
kualitas top. model easy grip sangat OK. packing super OK. pas dapat promo. murah dan bagus
Kaget pas datang paketnya dalam dus gede banget. aman pokoknya di dalam juga di lapis bubble wrap tebel lagi. otw cek out lagi warna lain selagi masih harga diskon
"tokped, disuruh konsumptif, tapi ngasih case back cuma 150 perak doang"
FAST respon. barang aman sampai tujuan worthit juga 🥰😍
"good products, good price, good service, good seller, good commitment, very highly recommended, excellent💯👍👏"
materialnya bagus gak diragukan lagi lock n lock emang oke. bahannya tebal banget. kapasitasnya besar. enak banget buat simpen air
barang sesuai gambar etalase. kualitas bagus. semoga awet. harga terjangkau. cocok buat menyimpan air minum yang banyak supaya gak bulak-balik dispenser. pengirimannya ju... 
thumbler paling oke udah beberapakali beli jenis tumbler ini selain sangat mudah penggunaannya juga bermanfaat seller responsif dan kooperatif pengirimannya sangat cepat... 
"Produk pesanan sesuai  Pengiriman standard  Katanya bisa dipake berulang kali tapi dibawah botol gak ada tanda food grade symbol angka 1 aja, yg artinya bukan utk digunak... "
Seller responsif dan barang dipacking dengan rapi dan aman
"Mantep, tetapi plastik lumayan tipis untuk ukuran botol minum."
"Sebelumnya sempat terima barang retak ditutup, sekarang sudah dikirimkan ulang barangnya utuh dan bagus. Terima kasih."
Pesen warna mint di kirim abu abu.  botol kurang jernih.
"barangnya kokoh, pas muat buat harian kebutuhan minum aku. thanks"
Ternyata botol minum ini jenis PET 1. Artinya hanya bisa dipamai sekali saja?
"Pengiriman cepat, malam order, besok langsung sampai. Packaging aman Harga bersahabat"
bagus bening ukuran cukup bagusss warna cakepppp mantul
pengiriman cepat.. barang di terima dengan baik tidak ada cacat. dikirim sesuai pesanan. thank youu
"Mantab container water bottle ini. Pembelian kedua dan ketiga. Bahan plastiknya bagus untuk body maupun tutupannya. Seal karet juga bagus, tidak bocor walau dikocok. Peng... "
Membeli kembali karena puas dengan pembelian Easy Grip yang sebelumnya. Botolnya itu sendiri sangat ringan sehingga tidak menyulitkan ketika membawanya dalam kondisi penu... 
"Produk bagus dan berfungsi dengan baik, ukuran dan warna sesuai dengan foto. Packaging menggunakan kardus dan bubble wrap sehingga produk diterima dalam keadaan baik (tid... "
"Produk original sesuai gambar, pengiriman y, paking rapi dan aman, harga murah, produk berfungsi dengan baik"
"Material Produk Bagus. Ukuran Produk Sesuai. Warna Produk Sesuai. Kualitas Produk Bagus.  PACKING NYA LUAR BIASA aman untuk satu buah botol, terus KECEPATAN PENGIRIMANNYA... "
puas banget produk oke gk usah ragu belanja di sini Material Produk Bagus. Kualitas Produk Bagus. Warna Produk Sesuai. Ukuran Produk Sesuai.
fast respon  barang nya bukan kaleng2  Material Produk Bagus. Ukuran Produk Sesuai. Warna Produk Sesuai. Kualitas Produk Bagus.
Material Produk Bagus. Kualitas Produk Bagus. Warna Produk Sesuai. Ukuran Produk Sesuai. Pengiriman Cepat
"Pertama kali belanja 🛒 di lapak ini. Penjual ramah, responsif terhadap pesanan saya, packing rapi, produk sesuai deskripsi, dan alhamdulillah aman sampai tujuan. 😊 Over... "
"Penjual ramah, responsif terhadap pesanan saya, packing rapi dilengkapi bubble wrap, produk sesuai deskripsi, dan alhamdulillah aman sampai tujuan. 😊 Overall RECOMMENDED... "
"super fast pelayanannya euy, sehari sampai, kualitas juga ga perlu diragukan lagi, brg sesuai pesanan, thx ya lock n lock  sukses selalu"
"Pertama kali belanja 🛒 di lapak ini. Penjual ramah, responsif terhadap pesanan saya, packing rapi dilengkapi bubble wrap, produk sesuai deskripsi, dan alhamdulillah aman... "
Material Produk Bagus. Kualitas Produk Bagus. Ukuran Produk Sesuai. Warna Produk Sesuai.
"penjual cukup responsif, packaging rapi (bubble wrap dan kardus), barang sampai dengan aman. Tapi, bahan botol PET 1... kalau cari informasi PET 1 hanya sekali pakai... P... "
Barang bagus sesuai pesanan.  Tutupnya rapat dibalik air tidak tumpah. Bahan kelihatan lebih tipis saja.  Pengiriman sedikit telat.
Kualitas Produk Bagus. Material Produk Bagus. Ramping gampang dipegang Warna Produk Sesuai.
"Pengiriman cepat,bagus ,cuma produk yg kudapat bagian bawah tidak simetris,miring jd goyang klo di taruh"
Ukuran Produk Sesuai. Warna Produk Sesuai. Kualitas Produk Bagus. Material Produk Bagus.  agak tipis sih tp layak pakai. good seller
"cantik banget botolnya, suka banget, ini dapat promo dari tokped, suka banget.. Material Produk Bagus. Kualitas Produk Bagus. Warna Produk Sesuai. Ukuran Produk Sesuai."
"Dapet harga flash sale lumayan. Original good quality, tapi memang harga aslinya cukup mahal. Ya sesuai harga & kualitas sih. Pengiriman aman & cepat, bubble teba... "
Packing asal-asalan..  Silahkan dinilai sendiri.
"Warna bagus, mudah dibawa2 dan dibuka-tutup pake 1 tangan, rapet ga bocor2, guna bgt untuk busui yg kemana2 1 tangan bawa bayi tp hrs banyak minum 👍"
Material Produk Bagus. Ukuran Produk Sesuai. Kualitas Produk Bagus. Warna Produk Sesuai. packing nya rapih skali d dlm d pakai bubble wrap.
"kualitas produk bagus, sesuai pesanan, pengiriman cepat namun packaging rusak saat pengiriman"
"Pengirimannya cepat dilakukan, packaging cukup aman, kualitas barang oke sesuai deskripsi. Thank you ya"
Material Produk Bagus. Kualitas Produk Bagus. Warna Produk Sesuai. Ukuran Produk Sesuai.
Keren bgt sumpah ini packing an nya mahal bgt  puas puas Material Produk Bagus. Ukuran Produk Sesuai. Kualitas Produk Bagus. Warna Produk Sesuai.
Ukuran Produk Sesuai. Material Produk Bagus. Kualitas Produk Bagus. Warna Produk Sesuai.
"meski pengiriman telat krn overload pemesanan, seller kooperatif, trs informasikan progres pesanan.. bahan bagus, packing double bubble wrap jd aman dan tnyata besar jd g... "
"barangnya diterima dengan kondisi baik, walaupun kardus pengiriman bagian belakang penyok dan terbuka saat diterima 🙏"
"nggak expect kalo bahannya bagian transparannya setipis itu (bisa meleyot haha). kurang firm buat ukuran lock n lock. tp overall bagus, utk penggunaan sehari2 juga msh am... "
"Mantap!! pesannya cuma 1 botol, tapi dikirim dalam kotak dengan segel fragile, ada bubble wrapnya juga  Material Produk Bagus. Ukuran Produk Sesuai. Warna Produk Sesuai.... "
"awalnya takjub sama packagingnya, kok gede bgt nih dus buat botol doang. gataunya emang tipis bgt dan tipikal melenyot botolnya tapi worth it kalo dapet flash sale. catat... "
barang original. kiriman cepat. sesuai pesanan. thanks tokopedia seller. tapi ini kode plastik segitiga 1. pake sekali dan ga boleh suhu panas dingin.
"paket sesuai pesanan, packing standar bubble wrap + wrap berlapis. pengiriman cepat, botol bagus cuma agak tipis. terimakasih seller, kurir dan tokopedia.."
"barangnya suka bgt cepat sampai, tipis sih tapi oke kalo buat nyimpen air dingin, jangan pake air panas"
barang sampe kondisi bagus n pacing pake bubble wrap barang sesuai pesanan n kwalitas bagus
"Kualitas lock n lock ga perlu diragukan lg lah ya. Dan sesuai branding produknya, meskipun isinya banyak tp botol nya nyaman untuk dipegang. Tp emg botol ini lebih pas un... "
"Barang sesuai pesanan, packing aman, beli pas flash sale, lumayan 😁 sering sering ya Seller utk beri diskon. Seller ramah fast respon. Kualitas produk Lock n Lock memang... "
"Material Produk Bagus. Ukuran Produk Sesuai. Warna Produk Sesuai. Kualitas Produk Bagus.   Pengiriman nya super cepet, dan botolnya bagus.Ternyata ukuran nya lebih gede"
puas banget dong sama Tokopedia dan sangat puas dengan barangnya. originalKualitas Produk Bagus. Material Produk Bagus. Warna Produk Sesuai. Ukuran Produk Sesuai.  dapet... 
"Harga diskon, kualitas produk, packing sangat rapi Dan aman. Sukses selalu untuk Tokped dan Seller"
"Barangnya oke. build quality nya lumayan, klo saya agak teken botolnya, plastiknya kedorong. ya sesuai harga sih. semoga awet. terimakasih"
"bagus banget, dpt gratis pembelian pertama. bahannya ga begitu tebel, ada sedikit bekas lakban tp gpp"
"alhamdulillah barang sampai dengan selamat. walaupun kardusnya rusak parah karena mungkin selama perjalanan ketumpuk barang lain, tapi untungnya barangnya dibalut bubble... "
Material Produk Bagus. Warna Produk Sesuai. Kualitas Produk Bagus. Ukuran Produk Sesuai.
lock and lock sesuai kebutuhan utk simpan air dingin 1.5l di kulkas
Ukuran Produk Sesuai. Warna Produk Sesuai. Kualitas Produk Bagus. Material Produk Bagus.
product ori pas dpt hrg flashsale.. makasih.. top.. tutupnya ada pegangannya . . sesuai keinginan..
Bingung kenapa banyak banget lecet-lecet seperti difoto. Tahu si harganya 43.000. Tapi ini agak terlihat seperti botol yang sudah pernah dipakai. Semoga QC-nya lebih kenc... 
"Alhamdulillah sdh smp pesanannya, respon toko cepat, kemasan rapih, pake bubble wrap jd isi paket aman, barang bagus real pict, mantap..."
"water bottle nya bagus kualitasnya, ukurannya besar dan harga juga murah, makasih ya"
Material Produk Bagus. Warna Produk Sesuai. Ukuran Produk Sesuai. Kualitas Produk Bagus.
Ukuran Produk Sesuai. Material Produk Bagus. Warna Produk Sesuai. Kualitas Produk Bagus.
Kualitas Produk Bagus. Material Produk Bagus. Warna Produk Sesuai. Lebih bagus dari perkiraan 👍
Material Produk Bagus. Ukuran Produk Sesuai. Warna Produk Sesuai. Kualitas Produk Bagus.
"Material Produk Bagus. Kualitas Produk Bagus. Warna Produk Sesuai. Ukuran Produk Sesuai.   Alhamdulillah dapet traktiran pengguna baru, botol lock & lock Rp 0. 😍 sam... "
"bosen ga yaaa reviewnya kita mulu haha 😅 Seperti biasaaa, kalo pengirimannya bukan dari toko cabang pasti cuma di wrap doang, ngeri siih takut lecet tapi ini aman. cocok... "
sesuai pesanan tapi packagingnya jelek . jadi tutup botolnya luka . masih bisa dipakai sih
"Packing agak sedikit terbuka...tapi Alhamdulillah barangnya lengkap dan diterima dalam keadaan baik, barang sesuai dengan deskripsi produk...fast respon & recommended... "
"Bagus, produk sesuai deksripsi, material produk bagus, packing aman dan pengiriman cepat, thx seller"
"barang diferima dengan aman, bahan tidak terlalu tebal tp msih oke lah"
"mantap bagus jernih dan kuat plastiknya, thank u"
Botol jernih skali Tutupnya jg rapat... masih keset Kemasan sangar rapi jg aman Top 👍🏽 Terima kasih 🙏🏽
"Barang Sesuai dengan deskripsi,di kemas sangat baik,recomended,Berfungsi dengan baik"
"Wih nyampeeek 🥰 kali kedua pesen botol ini dengan warna tutup yang beda. Enaknya botol ini : cucinya gampang, soalnya tangan ku bisa menjangkau bagian dalam botol. Baran... "
packing rapi dan barang sampai dengan aman. tp entah kenapa lock & lock yg ini masih ada spill-nya. padahal tutup sudah rapat dan sesuai dgn alur drat. apa mungkin ad... 
"Barang sesuai gambar dan deskripsi, proses dan pengiriman cepat, packing rapih dan aman"
"produk bagus, kualitas locknlock emang ga perlu diragukan"
"Bagus, eksklusif, besarr.. ada cekungan di body nya jd gak susah dipegang.. design nya bagus."
Makasih tokped traktirannyaMaterial Produk Bagus. Kualitas Produk Bagus. Ukuran Produk Sesuai. Warna Produk Sesuai.
Kualitas Produk Bagus. Material Produk Bagus. Warna Produk Sesuai. Ukuran Produk Sesuai. barang cepat datangnya & sesuai pesanan..thx yaa
"tutupnya kenceng bgt, ga bakal tumpah kecuali sengaja lu tumpahin."
"Proses cepat, packing rapi & aman, produk diterima sesuai pesanan & dalam kondisi baik semua."
"FLASH SALE... yeiii.. brg ori, bagus, brg sesuai foto. great packing .. trimakasih yaa.. GBU"
Ukuran Produk Sesuai. Warna Produk Sesuai. Harga sesuai dengan kualitas 👍🏾 Packaging sangat memuaskan dan aman 👍🏾
barang berkualitas sampai tujuan dengan selamat josssss
👍 packing rapi... botol tdk ada cacatnya... bahan bagus
Material Produk Bagus. Kualitas Produk Bagus.
the best... packing 100% aman... produck 100% Original... respon cepat dan tanggap... locknlock goodluck dan berkah buat usahanya...  tokopedia. makasih to free harganya
"Material Produk Bagus. Ukuran Produk Sesuai. Warna Produk Sesuai. pengiriman cepat, packing aman,"
"Barang bagus,packing aman karena bubble wrap + plastic wrap tebal"
Warna Produk Sesuai. Ukuran Produk Sesuai. Kualitas Produk Bagus.
Ukuran Produk Sesuai. Warna Produk Sesuai. Kualitas Produk Bagus.  mantap sesuai
Material Produk Bagus. Ukuran Produk Sesuai. matur suwun 😆Kualitas Produk Bagus.
nol rupiah sampe rumah..terima kasih  Material Produk Bagus.  Warna Produk Sesuai.  Kualitas Produk Bagus.  Ukuran Produk Sesuai.
gedenya pas nih buat nampung air banyak. PET grade 1 ya. wajar murmer hehe.
"puass bangedd, barang nya sampe dengan aman selamat. terimakasih banyakkMaterial Produk Bagus. Kualitas Produk Bagus. Warna Produk Sesuai. Ukuran Produk Sesuai."
"belym dicoba tapi udah suka dg pelayanannya. produk asli sesuai deskripsi. pelayanan gercep, malam ini pesan eh besok siang sudah sampai. packing juga rali ga asal2an. ni... "
"Kualitas Produk Bagus, Pengiriman cepat & aman👍🏾"
TERIMAKASIH BANYAK TOKOPEDIAAAAA HADIAH  GRATISSSNYA AKU PENGGUNA BARU LANGSUNG DAPATTTTTT DAN SUMPAH YA KALO BELI LUMAYAN BANGATTTT HARGANYA WE LOVE TOKO PEDIA Warna Pro... 
